topic,count,keywords,llm_name,llm_description,coherence
0,2557,"class, classes, chem, math, semester, taking, taken, schedule, course, biol",Academic Planning & Course Selection,"Students discuss course schedules, class difficulty, professor recommendations, and major requirements for planning their semesters.",high
1,932,"parking, campus, spot, park, permit, lot, lottery, car, bus, know",Parking & Transportation,"Discussions about campus parking permits, lotteries, bus schedules, and related transportation issues.",mixed
2,1080,"transfer, gpa, school, year, aid, college, just, credit, financial, class",Transfer & Financial Aid,"Students discuss credit transfers, admission criteria, GPA expectations, and financial aid questions related to enrolling at the university.",high
3,914,"housing, campus, room, looking, roommate, apartment, dorm, live, year, apartments",Housing & Accommodation,"Discussions about on‑campus and off‑campus housing options, dorm selection, roommate searches, and apartment rentals for UNC students.",high
4,707,"major, science, school, cs, business, minor, research, program, want, double",Academic Planning & Major Selection,"Students discuss choosing majors, minors, double majors, and aligning coursework with career goals.",high
5,368,"vote, like, students, campus, people, team, police, just, student, members",Political & Campus Discourse,"Heterogeneous cluster of campus and national political discussions, student governance, protests, safety concerns, and occasional unrelated campus events.",mixed
6,413,"waitlist, class, registration, open, waitlisted, orientation, classes, enrollment, seats, closed",Course Registration & Waitlists,"Students discuss class enrollment, waitlist status, and registration dates for the upcoming semester.",high
7,409,"ticket, game, tickets, duke, phase, football, basketball, student, student ticket, selling",Sports Ticket Sales,"Discussions about buying, selling, and obtaining tickets for college sports events, especially Duke and UNC games.",high
8,350,"club, tutor, tutoring, music, interested, peer, discord, students, play, looking",Student Clubs & Activities,"Campus clubs, music ensembles, tutoring groups, and Discord communities for student engagement.",high
9,435,"program, abroad, study, study abroad, global, experience, students, global launch, questions, launch",Study Abroad & Admissions,"Heterogeneous cluster covering study abroad programs, admissions questions, and unrelated political commentary.",mixed
10,272,"nursing, jobs, work, job, cna, nursing school, school, experience, work study, summer",Nursing & Healthcare Careers,"Students discuss nursing school requirements, CNA training, healthcare volunteering, and related job opportunities at UNC.",high
11,289,"decisions, application, decision, know, transcript, does, applied, transfer, come, date",Admissions Decisions,"Questions about when admission, transfer, or early action decisions are released, including specific programs and job offer timelines.",high
12,171,"email, account, onyen, canvas, app, access, just, eduroam, connect, using",IT & Account Support,"Campus technology and account login assistance, including email, Wi‑Fi, VPN, and software access.",high
13,219,"friends, people, like, social, life, rush, make, feel, make friends, just",Social Life & Friendships,"Discussions about making friends, joining clubs, campus social events, rush, and building a supportive social network on campus.",high
14,226,"just, feel, like, time, sick, going, health, mental, really, life",Mental Health & Well‑Being,"Students sharing personal health struggles, stress, and coping, including mental illness, housing issues, academic pressure, and social belonging.",mixed
15,93,"gown, cap, cap gown, graduation, regalia, dress, wear, buy, stole, ceremony",Graduation & Regalia,"Discussions about buying, trading, and wearing graduation gowns, caps, and related apparel.",high
16,104,"lost, card, key, keys, left, lost keys, fob, airpods, wallet, bag",Lost & Found Items,"Posts about misplaced personal belongings—keys, wallets, bags, electronics—and inquiries about campus lost‑and‑found services, alongside a few unrelated topics such as mental health and campus safety.",mixed
17,92,"lfit, gym, fitness, gyms, lifetime, lifetime fitness, pilates, credits lfit, training, src",Campus Fitness & Gym Services,"Students discuss gym membership options, LFit classes, personal training, and related fitness resources on campus.",high
18,82,"survey, link, project, responses, appreciate, thank, minutes, gift, study, help",Survey Participation Requests,"Students and researchers request classmates to complete surveys for class projects or studies, often offering small incentives or gifts.",high
19,63,"laptop, cci, cci laptop, grant, cci grant, ipad, computer, package, lenovo, macbook",Laptop Grant Program,"Questions and information about the university’s laptop grant program, covering eligibility, shipping, repairs, and device options.",high
20,99,"insurance, student, blue, tuition, nc, student blue, state, residency, instate, international",Health Insurance & Tuition,Questions and advice about university health insurance plans and in‑state tuition eligibility for students.,high
21,85,"textbook, books, textbooks, book, pdf, digital, buy, edition, copy, physical",Textbooks & Study Materials,"Students discuss purchasing, renting, and accessing physical and digital textbooks, including PDFs and e‑text options.",high
22,48,"photos, photographer, graduation, grad, photo, photographers, headshots, grad photos, pictures, camera",Graduation Photography,Students looking for affordable photographers and headshot services for graduation photos and related events.,high
23,45,"moreheadcain, cain, finalist, morehead, morehead cain, finalists, deleted, mass deleted, post mass, anonymized",Morehead-Cain Scholarship,"Discussion about the Morehead-Cain scholarship application, selection process, and finalist weekend at UNC.",high
24,35,"hair, haircut, place, salons, good, hair salons, salon, chapel, blonde, stylist",Hair & Beauty Services,"Students share recommendations for hair salons, barbers, and alternative styling options near campus, discussing quality, pricing, and stylist expertise.",high
25,31,"dog, cat, pet, dogs, puppy, shes, care, sweet, home, foster",Pets & Animal Care,"Campus conversations about pet safety, fostering, adoption, and general care responsibilities for dogs, cats, and other animals.",high
26,46,"curve, curved, final, 381, math 381, grade, math, grades, end, class",Grading Curves & Finals,"Students discuss whether courses curve grades, how final exams impact overall grades, and strategies for achieving desired grades.",high
27,27,"tennis, play, play tennis, badminton, play badminton, courts, players, beginner, local, bark",Campus Recreation & Noise,"Heterogeneous cluster of campus recreation discussions (tennis, badminton) and noise complaints from frat courts.",mixed
28,20,"taylor, majorie, greenes daughter, taylor greenes, greenes, majorie taylor, daughter, daughter student, student year, mom",Political Family Discussions,"Heterogeneous cluster: posts about Marjorie Taylor Greene’s daughter, medical degree questions, and unrelated food comments.",mixed
