Topic,Count,Name,Representation,Representative_Docs
-1,9,-1_pokmon cuncuncuc_cuncuncuc_pokmon_,"['pokmon cuncuncuc', 'cuncuncuc', 'pokmon', '', '', '', '', '', '', '']","['am i wasting my money at unc? it makes me so incredibly sad to even think about this. but i am an oos student (second semester junior) and i am grateful that my parents are paying for my tuition. however i feel like i am lighting their money on fire and flushing it down the toilet. i have taken two non-consecutive semesters off for mental health reasons. this semester i am under loading my credit hours (9) and i have withdrawn from a few classes over the course of my being a student here. i absolutely love unc with all of my heart. the culture, walking up and down franklin street, going to sports events, living in chapel hill. but it is so incredibly hard on my mental health to be 600 miles from my family and main support system for 10 months of the year. in fact, i have not completed a full consecutive year at unc without taking incompletes or full semesters off. i am currently back home because i couldn’t make it until spring break without having a mental health crisis. i haven’t done work for or attended my classes for a week now. on top of that i withdrew too late from my extra 5 credit hours so my parents are paying full time tuition for my underload. i feel totally non-functional when it comes to school. this is aver graduating high school in the top 1% of my class with a 5.0 gpa and 14 ap classes. i feel like i’ve done nothing but slack since then. i guess i want advice on whether or not it’s worth it to make my parents continue to pay for another full year of unc after this, or if it’s worth going to a significantly less prestigious university back home and basically starting over in my major. i want a degree from unc so badly, and chapel hill has my heart, but i don’t know at what point it’s not worth it anymore. thanks, everyone. edit: thank you everyone who put in the time to formulate a response for a tarheel stranger. i really do appreciate y’all and will get back to everyone as fast as i can! i am overwhelmed with your support! thank you!', ""failing math 233 so, i'm pretty sure i'm going to fail math 233 this semester. i'm a stor major, so it's a major requirement. i've completed most of my major courses barring this class and the upper level courses i need access to based on passing this one. i transferred in this semester, and while i came close to nearly failing a course over the summer (linear algebra), i was still able to squeak by with a c. i've just struggled really badly in multi, and it feels like i barely have grasp of the concepts, even after tutoring and videos. i don't know what i'm doing wrong. i know this school can be difficult on purpose, but i had a near perfect gpa at my old school, even after taking classes like calc i, ii, and discrete math (all which i got as in), but i fight for my life in multi here. i basically need a 100 on the final to pass the class, and mclaughlin even said that she doesn't think she'll curve my section's because the class is doing really well. i wanted to study abroad in the spring or fall, and this option was contingent upon me being able to pass math 233, but i don't think that's happening. i'm most worried this will impact my recruitment/spring semester scholarship opportunities because it will tank my gpa seeing as this is my first semester here. can any seniors/alumni in the comp sci/stor space provide any encouragement about this? i keep telling myself it will be okay and then alternate to the brink of a breakdown. i also have a bout a million assignments due by ldoc next wednesday, and i feel like this is taking away from adequate time i need to study. it just feels hopeless. i just want a c, man 😞."", ""why registration process is just a piece of sht as a freshman majoring in psychology with a neuroscience minor, i spent so much time planning my schedule, yet the classes were already closed or out of spots before my registration window even began. it's frustrating, but this is the universal college freshman experience. doesn't matter where you go or who you are, if you're a freshman, your registration will be as shitty as can be. the website said there were 70–80 reserved spots open for psychology and neuroscience minors, but that honestly feels meaningless. i asked my advisor, and he basically knew nothing. what was there to ask? not to be rude, but there isn't much to say about that. people got there before you. as a freshman, you probably still have gen ed requirements to get through first why do different people get different registration times? why are honors students eligible to register earlier? it feels completely unfair. more credits = earlier registration. certain accomodations = earlier registration. honors student = earlier registration. it's frustrating, for sure, but all of these are things you could attempt to change for yourself. get community college credits, apply for the honors college, see if you're eligible for accomodations. if everyone registered at the same time, the website would crash and seniors would never get classes they need to graduate and the advising system is terrible. my advisor is extremely hard to reach and has offered almost no help. this is fair. request to switch advisors. advocate for yourself, it's one of the biggest things you learn in college. why is a public university like this? every university is like this. i’m starting to hate this place. there’s no diversity, no sense of community, nobody seems to care about students’ mental health, find the diversity, join clubs for the groups you're interested in, take classes about them, go to on campus diversity related events (rha has a multicultural test tonight!!). who do you want to care about your mental health? again, i don't mean that in a mean way, but at a school with tens of thousands of students, you have to be your own advocate. there are far too many people around for your specific needs to be focused in on unless you say something. talk to caps, reach out to professors, etc. and the classes are ridiculously hard. i had a straight 4.0 in high school, but here every class has three midterms and a final. them's the breaks at the university level. you're at a public ivy, not in highschool. it's supposed to be harder. you're getting a top tier education. not every class has 3 midterms and a final either. that's highly dependent on your classes (so kinda your major determines it). you aren't going to have a straight 4.0 at the university level because you're not being graded on the 10 point system anymore, and you're taking hard classes is it just me, or does this school feel unfair and biased, with no real community at all? it sounds like you potentially had unreasonable expectations about what college is. that's fine, it's probably the most common thing students come to reckon with as they start at the university level. nobody is looking after you and telling you what to you, you have to advocate for yourself, you have to build your own community, you have to speak up about things that feel unfair. you've also only been here for a semester, it will get easier""]"
0,45508,0_class_classes_just_major,"['class', 'classes', 'just', 'major', 'school', 'like', 'semester', 'know', 'time', 'good']","['miserable freshman looking for advice (and to vent) im so sorry—im also out of state and had such a fucking hard time making friends, esp because my freshman year was totally online. right now, im a junior, and still facing that same struggle along with a myriad of mental health issues—this is just to say, i get it. i hear you. it really fucking sucks. and i hope you know, you dont have to be confined here. as challenging as it may be, transferring is always an option. you never know what your actual college experience will be like until you start, and by then i know that a lot of people feel like it’s too late to change their mind. it’s not! i know plenty of people who transferred and were able to find their place somewhere else. that said, i know this might be hard, esp when dealing with depression, but joining student orgs on campus is honestly a great way to meet people and how ive meet a few of my friends. it is usually smaller and more tight knit and you can surround yourself with people who have similar interests which is so comforting. also, my dms are always open if you ever just need someone to talk to! sorry this was so long i def didnt think it would be lol. just want to let you know that youre not alone, and this isnt an impossible situation. <3', ""need some advice (career crisis) hi everyone, i'm a junior on the premed track, and well, have been consistently doing pretty badly in my science classes. like, pretty much straight c's. and i didn't do any better in my science classes this semester. so grades are not great, but i'm a non-stem major, so my major classes do boost my gpa. also, should note that i have not taken the mcat yet. my other stats include that i'm on the exec board of two clubs that i've been involved in since freshman year, i'm currently doing research and am on track to get my name on a paper next year, will be doing a senior year honors thesis, and of course various hobbies like running/playing the piano. i currently work an in-home caretaker job on the side to get direct patient hours and hope to get my cna this summer. i'm also a first-gen american citizen, if that helps. i know that post-bacc programs exist, but i also do know that they're pretty picky. i really want to be a doctor, and i firmly believe that i'm here for the right reasons, but i just want to know if it's worth it, or do i have no shot and should just change career paths while i still have some time left in undergrad? (i'm thinking of picking up a more 'useful' degree like econ or maybe public policy since both of those would dovetail pretty well with my current major) any advice and/or personal experiences would be appreciated!"", ""miserable freshman looking for advice (and to vent) basically title. i'm an out-of-state student without any connection to unc other than getting in and i have just never hated my life more. i've had mental health issues (suicidal ideation, depression, dp/dr, anxiety) my entire life, but i just never imagined it getting this bad. i've lost 15 pounds from stress alone since moving in, i can't sleep at night (3-4 hours at best, no matter how early i go to bed), my depressive episodes and panic attacks are more frequent, and i just feel my life slipping through my fingers. i'm not doing poorly academically (a, a-, b+), but i just feel so completely lost. i don't know exactly what i want to do (which i know is normal), but i just have nothing motivating me to keep going and no passion driving me forward at all. my parents are starting to get worried about me and honestly who can blame them? i sit outside my dorm crying on the phone to them for hours at a time because i genuinely feel like i am losing my mind and have no place or value anymore. i have struggled to make a single friend here. no one has been mean to me or anything, but i just feel like such an outsider it hurts. i was so excited for my first unc basketball game this week, but i just sat in the stands the whole time praying to be anywhere else and feeling like i shouldn't be there—like i was somehow a different species entirely from everyone around me. i just don't understand what is wrong with me. why can't i just enjoy what everyone else is having fun doing? why can't i get out of my own head and misery? why do i break down in tears every single time i am alone? i feel so physically trapped here too. on my tour when they said freshmen couldn't have cars, i genuinely immediately ruled the school out in my head. now, i wish more than anything i hadn't convinced myself my car (and therefore independence) wasn't that important. as ridiculous as it sounds (and i really do recognize how dramatic/privileged i sound, it's a hellish feedback loop of being mad at myself for being upset and then feeling worse) i feel like a prisoner here. the same cinderblock dorm, the same mediocre food on repeat, and the same classrooms/libraries every single day are making me feel like i am losing my mind. i can only walk to my classes in so many different ways. i'm trying to get myself home for thanksgiving and christmas without spending a fortune on unnecessary flights since i will be here for only one week between the two holidays (blessed with early finals) and the drive really isn't that bad, but of course that is a nightmare too. i truly believe that even just having my car here would make things better enough to at least finish the year, but i already know that isn't even a possibility (parking made that very clear, and absolutely could not have been ruder about it as a side note). in the dorms, i can never have alone time and without that real privacy, i can't access the mental health care that i do truly need through telehealth (as suggested by caps). of course, every professional who seems like they could help me in person isn't accessible through the bus lines. i even looked into using uber for everything, but almost $30 each way on top of $150+/hr (joys of out-of-state insurance!) is just not a solution with my current finances. i would just do anything to have my car. i really feel like i could maybe make this whole unc thing work if i had it. maybe it is because i grew up in a rural area where having a car was simply a non-negotiable (i drove for probably around 2 hours a day at home), but i feel like a child without it. this is the least independent i have felt since i got my license. i have so little control over my life now (where i go, what i go do on the weekends, what and when i eat, how often i go home, what doctors i see, etc). i feel like all i have done since i got here was take steps backward. it just doesn't feel fair to me that 82% of people are in state (and i know there are places in nc that are far away too, i'm generalizing because i'm upset) and their families and friends can realistically drive roundtrip in a day while i am essentially stuck on an island of flightless birds all alone. i really, truly believe that you can't make a good decision on if a college is right for you or not until you have given it a full year. unfortunately, i just don't know if i am going to be able to (literally) survive here for that much longer. i don't even want to transfer, i am so gutted by this whole experience i just want to go home and never think of higher education again. i am so embarrassed and disgusted with myself that i genuinely have a hard time looking in the mirror these days. leaving after the semester feels like giving up and i truly hate myself for wasting the opportunity i was given, but i just can't tell if this is an intense rough patch or if my misery is actually just as unending as it feels like it is. i wish i could just end it all without upsetting anyone else (my family, friends at home, and roommates who would be completely traumatized). some days i feel like maybe everything will be okay and i'll even be able to graduate, but for the vast majority i feel like the world is caving in all around me and i'm stuck in the rubble all alone. if you read this all the way through, i am both thankful and sorry! i don't really know what i'm expecting out of posting this, but i guess any words of wisdom, advice, or encouragement would be really appreciated. at the very least, screaming into the void made me feel a little bit better <3""]"
1,14318,1_campus_parking_housing_chapel,"['campus', 'parking', 'housing', 'chapel', 'hill', 'dorm', 'chapel hill', 'live', 'just', 'like']","['a vending machine in the davis library was kept open, resulting in many students taking drinks from it without paying. good to remember if i am walking through the parking lot and see an unlocked door.', 'a vending machine in the davis library was kept open, resulting in many students taking drinks from it without paying. the relevancy? i’d love to know', 'a vending machine in the davis library was kept open, resulting in many students taking drinks from it without paying. ![gif](giphy|rpoegqdt8xa9vlt8fx)']"
2,5621,2_people_campus_hamas_police,"['people', 'campus', 'hamas', 'police', 'students', 'israel', 'today', 'like', 'just', 'shooting']","['!alert carolina! emergency: armed, dangerous person on or near campus. go inside now; avoid windows. love from a grad.', '!alert carolina! emergency: armed, dangerous person on or near campus. go inside now; avoid windows. please, stay safe, everyone', '!alert carolina! emergency: armed, dangerous person on or near campus. go inside now; avoid windows. thank you']"
3,2687,3_game_ticket_tickets_duke,"['game', 'ticket', 'tickets', 'duke', 'football', 'phase', 'basketball', 'carolina', 'student', 'games']","['graduate student, ticket for unc v duke game i have a spare ticket', '🐐 🏀 it’s only a game 🤷\u200d♀️', 'graduate student, ticket for unc v duke game']"
4,2266,4_email_laptop_cci_scam,"['email', 'laptop', 'cci', 'scam', 'use', 'card', 'canvas', 'lost', 'account', 'just']","[""is it suggested to buy cci? it is most worth it for people that get the cci grant. that way it covers almost $1000 of a laptop you can get through it, or the whole laptop if you take the cheapest version. overall i've had a great experience so far but i got a lenovo so i don't know anything about mac."", 'recent graduate cci laptop repair hi i just graduated from unc this past may and i’ve still been using my cci grant (lenovo) laptop that i’ve used all four years at unc. it is my one & only laptop but last week, i noticed it won’t turn on and when i connect it to the charger and try again, a couple of “f” buttons blink blue. i’ve had really good experiences with on-campus its/repairs before and am wondering if this is something i can still utilize, even if i’m no longer a student there. any help is appreciated!', 'is it suggested to buy cci? i saw that when they are fixing my cp, they will lend me a cp. are you sure that they will just give me a new cp just like what sometimes apple care does? that would be so nice. cci website: ""a pool of laptops is maintained and made available to cci laptop owners through the its response center. if your cci laptop needs to be serviced then you will be offered a loaner laptop, when available. cci laptop owners at carolina are almost never without a working laptop.""']"
5,1965,5_graduation_logo_gown_cap,"['graduation', 'logo', 'gown', 'cap', 'wear', 'cap gown', 'dress', 'buy', 'new logo', 'merch']","['why do most people wear white dresses for graduation? tf are you on about', 'cap & gown trading post looking for a 6’0”-6’2” undergrad cap and gown', 'why do most people wear white dresses for graduation? wear carolina blue!']"
6,1255,6_phi_kappa_pi_fraternity,"['phi', 'kappa', 'pi', 'fraternity', 'pi kappa', 'kappa phi', 'frat', '60k far', 'phi 60k', 'yesterdays protests']","['pi kappa phi made $60k (so far) off of yesterdays protests lol', 'pi kappa phi made $60k (so far) off of yesterdays protests or these?', 'pi kappa phi made $60k (so far) off of yesterdays protests']"
7,1077,7_post_did just_just body_calling,"['post', 'did just', 'just body', 'calling', 'alum', 'calling alum', 'body', 'just', 'deleted', 'did']","['what did i just put in my body a what', 'what did i just put in my body it’s you', 'what did i just put in my body 🤢🤮']"
8,1760,8_thank_dm_thanks_phase,"['thank', 'dm', 'thanks', 'phase', 'advice', 'looking', 'chance', 'appreciate', 'help', 'project']","['looking to trade a phase 2 ticket for a phase 1 ticket', 'looking to trade my phase 5 ticket and $$ for a phase 1,2,3 ticket', 'i have a phase 3 ticket and i’m looking for a phase 1 or 2. dm if interested']"
